validation_type,model,val_auc,test_auc,val_ap,test_ap,test_fdr,training_time
real_validation,ABOD,0.7948717948717949,0.95,0.6555555555555556,0.9351301476301476,0.0,1.3399956226348877
real_validation,KNN,0.8205128205128205,0.9571428571428572,0.6666666666666666,0.9354365079365079,0.0,0.015214681625366211
real_validation,LOF,0.7692307692307693,0.9642857142857143,0.6464646464646464,0.9430122655122655,0.0,0.01058340072631836
real_validation,COF,,,,,,
real_validation,IForest,0.7948717948717949,0.9142857142857144,0.6555555555555556,0.923109243697479,0.0,0.11482071876525879
real_validation,OCSVM,0.7435897435897436,0.8785714285714286,0.6388888888888888,0.8334415584415584,0.14285714285714285,0.005850791931152344
real_validation,COPOD,0.7948717948717949,0.9142857142857144,0.6555555555555556,0.8938736263736263,0.0,0.10639166831970215
real_validation,PCA,0.7435897435897436,0.9214285714285715,0.6388888888888888,0.9027625152625152,0.0,0.005806684494018555
real_validation,HBOS,0.8205128205128205,0.9428571428571428,0.5138888888888888,0.9443181818181818,0.0,1.4566633701324463
real_validation,MCD,0.6410256410256411,0.8999999999999999,0.28968253968253965,0.8684920634920635,0.16666666666666666,0.03597712516784668
real_validation,LODA,0.6153846153846154,0.8285714285714286,0.2777777777777778,0.7135655929038283,0.25,0.019666194915771484
real_validation,CBLOF,0.8461538461538461,0.8928571428571428,0.6428571428571429,0.8739213564213564,0.2222222222222222,0.9728946685791016
synthetic_local_validation,ABOD,1.0,0.95,1.0,0.9351301476301476,0.0,0.05157804489135742
synthetic_local_validation,KNN,1.0,0.9571428571428572,1.0,0.9354365079365079,0.0,0.013522863388061523
synthetic_local_validation,LOF,1.0,0.9642857142857143,1.0,0.9430122655122655,0.0,0.010678529739379883
synthetic_local_validation,COF,,,,,,
synthetic_local_validation,IForest,1.0,0.9142857142857144,1.0,0.923109243697479,0.0,0.11805558204650879
synthetic_local_validation,OCSVM,1.0,0.8785714285714286,1.0,0.8334415584415584,0.14285714285714285,0.005789995193481445
synthetic_local_validation,COPOD,1.0,0.9142857142857144,1.0,0.8938736263736263,0.0,0.009099721908569336
synthetic_local_validation,PCA,1.0,0.9214285714285715,1.0,0.9027625152625152,0.0,0.005945920944213867
synthetic_local_validation,HBOS,1.0,0.9428571428571428,1.0,0.9443181818181818,0.0,0.007536411285400391
synthetic_local_validation,MCD,0.846153846153846,0.8999999999999999,0.5,0.8684920634920635,0.16666666666666666,0.03525948524475098
synthetic_local_validation,LODA,0.9230769230769231,0.7285714285714285,0.6388888888888888,0.633655462184874,0.3333333333333333,0.02018594741821289
synthetic_local_validation,CBLOF,1.0,0.8928571428571428,1.0,0.8739213564213564,0.2222222222222222,0.02417778968811035
synthetic_cluster_validation,ABOD,1.0,0.95,1.0,0.9351301476301476,0.0,0.052292585372924805
synthetic_cluster_validation,KNN,1.0,0.9571428571428572,1.0,0.9354365079365079,0.0,0.013549327850341797
synthetic_cluster_validation,LOF,1.0,0.9642857142857143,1.0,0.9430122655122655,0.0,0.011321544647216797
synthetic_cluster_validation,COF,,,,,,
synthetic_cluster_validation,IForest,0.9230769230769231,0.9142857142857144,0.6388888888888888,0.923109243697479,0.0,0.11697864532470703
synthetic_cluster_validation,OCSVM,1.0,0.8785714285714286,1.0,0.8334415584415584,0.14285714285714285,0.0057373046875
synthetic_cluster_validation,COPOD,1.0,0.9142857142857144,1.0,0.8938736263736263,0.0,0.00889277458190918
synthetic_cluster_validation,PCA,1.0,0.9214285714285715,1.0,0.9027625152625152,0.0,0.005839347839355469
synthetic_cluster_validation,HBOS,1.0,0.9428571428571428,1.0,0.9443181818181818,0.0,0.007548093795776367
synthetic_cluster_validation,MCD,1.0,0.8999999999999999,1.0,0.8684920634920635,0.16666666666666666,0.033650875091552734
synthetic_cluster_validation,LODA,0.0,0.8571428571428572,0.13075396825396823,0.8571031746031745,0.0,0.018948078155517578
synthetic_cluster_validation,CBLOF,1.0,0.8928571428571428,1.0,0.8739213564213564,0.2222222222222222,0.02354741096496582
synthetic_global_validation,ABOD,0.9487179487179488,0.95,0.8055555555555556,0.9351301476301476,0.0,0.04904770851135254
synthetic_global_validation,KNN,0.9487179487179488,0.9571428571428572,0.8055555555555556,0.9354365079365079,0.0,0.01279139518737793
synthetic_global_validation,LOF,0.9743589743589745,0.9642857142857143,0.9166666666666666,0.9430122655122655,0.0,0.010677337646484375
synthetic_global_validation,COF,,,,,,
synthetic_global_validation,IForest,1.0,0.9142857142857144,1.0,0.923109243697479,0.0,0.11664032936096191
synthetic_global_validation,OCSVM,0.9487179487179488,0.8785714285714286,0.8055555555555556,0.8334415584415584,0.14285714285714285,0.005816459655761719
synthetic_global_validation,COPOD,1.0,0.9142857142857144,1.0,0.8938736263736263,0.0,0.009079456329345703
synthetic_global_validation,PCA,0.9487179487179488,0.9214285714285715,0.8055555555555556,0.9027625152625152,0.0,0.005795717239379883
synthetic_global_validation,HBOS,1.0,0.9428571428571428,1.0,0.9443181818181818,0.0,0.007468223571777344
synthetic_global_validation,MCD,1.0,0.8999999999999999,1.0,0.8684920634920635,0.16666666666666666,0.03376507759094238
synthetic_global_validation,LODA,1.0,0.6571428571428571,1.0,0.6601461988304094,0.25,0.019242525100708008
synthetic_global_validation,CBLOF,0.8974358974358975,0.8928571428571428,0.5888888888888888,0.8739213564213564,0.2222222222222222,0.024006366729736328
synthetic_discrepancy_validation,ABOD,0.5641025641025641,0.95,0.27609427609427606,0.9351301476301476,0.0,0.05267643928527832
synthetic_discrepancy_validation,KNN,0.5641025641025641,0.9571428571428572,0.2507936507936508,0.9354365079365079,0.0,0.01344442367553711
synthetic_discrepancy_validation,LOF,0.41025641025641024,0.9642857142857143,0.19907407407407407,0.9430122655122655,0.0,0.010876893997192383
synthetic_discrepancy_validation,COF,,,,,,
synthetic_discrepancy_validation,IForest,0.41025641025641024,0.9142857142857144,0.19761904761904764,0.923109243697479,0.0,0.11592769622802734
synthetic_discrepancy_validation,OCSVM,0.5897435897435898,0.8785714285714286,0.2777777777777778,0.8334415584415584,0.14285714285714285,0.005765199661254883
synthetic_discrepancy_validation,COPOD,1.0,0.9142857142857144,1.0,0.8938736263736263,0.0,0.00895380973815918
synthetic_discrepancy_validation,PCA,0.5128205128205128,0.9214285714285715,0.24074074074074076,0.9027625152625152,0.0,0.005647420883178711
synthetic_discrepancy_validation,HBOS,1.0,0.9428571428571428,1.0,0.9443181818181818,0.0,0.0072634220123291016
synthetic_discrepancy_validation,MCD,0.15384615384615383,0.8999999999999999,0.14825174825174825,0.8684920634920635,0.16666666666666666,0.03408455848693848
synthetic_discrepancy_validation,LODA,0.3589743589743589,0.7642857142857142,0.18835978835978837,0.7654911754911755,0.2,0.018575429916381836
synthetic_discrepancy_validation,CBLOF,0.6923076923076924,0.8928571428571428,0.3194444444444444,0.8739213564213564,0.2222222222222222,0.023546695709228516
